THE,23782115
BE,16711569
AND,11654439
OF,11155504
A,10999596
IN,7557934
TO,6868227
HAVE,5335769
IT,4194790
I,4455521
THAT,3709830
FOR,3564803
YOU,3354252
HE,3138899
WITH,2911620
ON,2703486
DO,2800961
SAY,2077536
THIS,2047852
THEY,2014769
AT,1923946
BUT,1933747
WE,1973643
HIS,1943525
FROM,1777279
NOT,1771490
N'T,1744284
BY,1608416
SHE,1608851
OR,1488977
AS,1400622
WHAT,1283090
GO,1251786
THEIR,1170105
CAN,1106769
WHO,1103170
GET,1080432
IF,1011860
WOULD,1000182
HER,1054106
ALL,970329
MY,1007382
MAKE,932443
ABOUT,952604
KNOW,974670
WILL,1200441
UP,865430
ONE,830617
TIME,832974
THERE,846483
YEAR,834997
SO,837971
THINK,838695
WHEN,736305
WHICH,739360
THEM,735837
SOME,728487
ME,775446
PEOPLE,752220
TAKE,726578
OUT,738311
INTO,723324
JUST,741437
SEE,754368
HIM,731462
YOUR,719699
COME,680619
COULD,669783
NOW,657619
THAN,627735
LIKE,619260
OTHER,589395
HOW,588188
THEN,589713
ITS,604138
OUR,574490
TWO,552785
MORE,560978
THESE,554163
WANT,559368
WAY,511585
LOOK,534884
FIRST,502030
ALSO,504559
NEW,472947
BECAUSE,476691
DAY,486307
USE,455925
NO,433546
MAN,459435
FIND,426447
HERE,447805
THING,438886
GIVE,415914
MANY,415218
WELL,448199
ONLY,408282
THOSE,410262
TELL,420804
VERY,422266
EVEN,391962
BACK,399602
ANY,374115
GOOD,386236
WOMAN,382235
THROUGH,372049
US,385782
LIFE,361340
CHILD,360478
WORK,346641
DOWN,356991
MAY,345687
AFTER,339185
SHOULD,335540
CALL,333570
WORLD,328689
OVER,326862
SCHOOL,331597
STILL,322194
TRY,319415
LAST,314652
ASK,308827
NEED,304665
TOO,303970
FEEL,298414
THREE,288953
STATE,440944
NEVER,284212
BECOME,278670
BETWEEN,284031
HIGH,277214
SOMETHING,278966
REALLY,289297
MOST,265879
ANOTHER,260296
MUCH,265384
FAMILY,264804
OWN,259644
LEAVE,260368
PUT,257101
OLD,254505
WHILE,254311
MEAN,269180
KEEP,252367
STUDENT,280591
WHY,256316
LET,263272
GREAT,244358
SAME,240374
BIG,249244
GROUP,249082
